key,english,swahili
"clockIn.typeBereavement","Bereavement","Kufiwa"
"clockIn.leaveDetailsTitle","Leave Request Details","Acha Maelezo ya Ombi"
"clockIn.submittedOn","Submitted {{date}}","Imewasilishwa {{date}}"
"clockIn.dateLabel","Date","Tarehe"
"clockIn.noteLabel","Note","Kumbuka"
"clockIn.closeDetails","Close Details","Funga Maelezo"
"clockIn.overtimeSessionTitle","Overtime Session","Kikao cha Muda wa ziada"
"clockIn.overtimeSessionSubtitle","Your employer will be notified","Mwajiri wako atajulishwa"
"clockIn.overtimeSessionInfo","Mark this session as overtime? This records extra hours and alerts your employer.","Je, ungependa kutia kikao hiki kama saa ya ziada? Hii hurekodi saa za ziada na kumjulisha mwajiri wako."
"clockIn.reasonLabel","Reason","Sababu"
"clockIn.reasonOptional","(optional)","(si lazima)"
"clockIn.reasonPlaceholder","e.g. Finished late tasks, client call ran over…","k.m. Imemaliza kazi iliyochelewa, simu ya mteja iliisha…"
"clockIn.markAsOvertime","Mark as Overtime","Weka alama kama Muda wa ziada"
"clockIn.dismiss","Dismiss","Ondoa"
"clockIn.locationAddressTitle","Location Address","Anwani ya Mahali"
"clockIn.closeAction","Close","Funga"
"clockIn.locationPermissionDeniedTitle","Location Permission Denied","Ruhusa ya Mahali Imekataliwa"
"clockIn.locationPermissionDeniedBody","Location access is required for clock-in features. Please enable it in your device settings.","Ufikiaji wa eneo unahitajika kwa vipengele vya saa ndani. Tafadhali iwashe katika mipangilio ya kifaa chako."
"clockIn.cancelAction","Cancel","Ghairi"
"clockIn.openSettingsAction","Open Settings","Fungua Mipangilio"
"clockIn.locationErrorTitle","Location Error","Hitilafu ya Mahali"
"clockIn.locationErrorBody","Could not get current location. Please ensure GPS is enabled and try again.","Haikuweza kupata eneo la sasa. Tafadhali hakikisha GPS imewashwa na ujaribu tena."
"clockIn.successTitle","Success","Mafanikio"
"clockIn.errorTitle","Error","Hitilafu"
"clockIn.overtimeRegisteredBody","Overtime session has been registered. Your employer will be notified.","Kipindi cha muda wa ziada kimesajiliwa. Mwajiri wako atajulishwa."
"clockIn.overtimeFailedBody","Failed to mark overtime","Imeshindwa kuashiria saa ya ziada"
"clockIn.overtimeUnexpectedBody","Something went wrong. Please try again.","Hitilafu fulani imetokea. Tafadhali jaribu tena."
"clockIn.sessionLimitTitle","Session Limit Reached","Ukomo wa Kipindi Umefikiwa"
"clockIn.sessionLimitBody","You have been clocked in for 24 hours. You are being automatically clocked out.","Umesalia ndani kwa saa 24. Unazimwa kiotomatiki."
"clockIn.alreadyClockedInTitle","Already Clocked In","Tayari Imeingia"
"clockIn.alreadyClockedInBody","You have an active clock-in session. Please clock out before starting a new session.","Una kipindi kinachoendelea cha saa. Tafadhali acha kabla ya kuanza kipindi kipya."
"clockIn.jobRequiredTitle","Job Required","Kazi Inahitajika"
"clockIn.jobRequiredBody","You need to have a job profile set up before you can clock in. Please complete your job setup first.","Unahitaji kuwa na wasifu wa kazi umewekwa kabla ya kuingia. Tafadhali kamilisha usanidi wako wa kazi kwanza."
"clockIn.locationRequiredTitle","Location Required","Mahali Panahitajika"
"clockIn.locationRequiredBody","Cannot perform clock action. Location access is denied or not available. Please ensure GPS is enabled and permissions are granted.","Haiwezi kutekeleza kitendo cha saa. Ufikiaji wa eneo umekataliwa au haupatikani. Tafadhali hakikisha GPS imewashwa na ruhusa zimetolewa."
"clockIn.clockOutConfirmTitle","Clock Out?","Saa Nje?"
"clockIn.clockOutConfirmBody","Are you sure you want to clock out?","Je, una uhakika unataka kuzima?"
"clockIn.clockOutAction","Clock Out","Saa Nje"
"clockIn.clockOutSummaryTitle","Clock-Out Summary","Muhtasari wa Saa-Kati"
"clockIn.clockOutSummaryBody","You clocked in at {{clockIn}} and clocked out at {{clockOut}}.","Uliingia saa {{clockIn}} na ukatoka saa {{clockOut}}."
"clockIn.breakNotAllowedTitle","Action Not Allowed","Kitendo Hakiruhusiwi"
"clockIn.breakNotAllowedBody","You must be clocked in to start or end a break.","Ni lazima uingizwe ili kuanza au kumaliza mapumziko."
"clockIn.breakConfigErrorBody","Job profile and active time log are required for break functionality.","Wasifu wa kazi na logi ya saa inayotumika inahitajika kwa utendakazi wa mapumziko."
"clockIn.operationFailedBody","Operation failed: {{message}}","Uendeshaji haukufaulu: {{message}}"
"clockIn.noDatesTitle","No dates selected","Hakuna tarehe zilizochaguliwa"
"clockIn.noDatesBody","Please select at least one day.","Tafadhali chagua angalau siku moja."
"clockIn.userIdentifyError","Could not identify user. Please log in again.","Haikuweza kutambua mtumiaji. Tafadhali ingia tena."
"clockIn.leaveSubmittedSingular","{{count}} leave request submitted!","{{count}} ombi la kuondoka limewasilishwa!"
"clockIn.leaveSubmittedPlural","{{count}} leave requests submitted!","{{count}} acha maombi yamewasilishwa!"
"clockIn.leaveSomeFailed","Some requests failed. Please try again.","Baadhi ya maombi yameshindwa. Tafadhali jaribu tena."
"clockIn.leaveUnexpectedError","An unexpected error occurred.","Hitilafu isiyotarajiwa imetokea."
"clockIn.leaveSubmittedSuccess","Time off request submitted successfully!","Ombi la muda wa kupumzika limewasilishwa!"
"clockIn.leaveDateRequired","Please select a date or date range from the calendar.","Tafadhali chagua tarehe au kipindi kutoka kwa kalenda."
"clockIn.leaveSubmitFailed","Failed to submit leave request.","Imeshindwa kuwasilisha ombi la likizo."
"clockIn.statusPending","pending","inasubiri"
"clockIn.statusApproved","approved","kupitishwa"
"clockIn.statusDenied","denied","kukataliwa"
"clockIn.historyTitle","Work History","Historia ya Kazi"
"clockIn.historyLoading","Syncing history...","Inasawazisha historia..."
"clockIn.periodToday","Today","Leo"
"clockIn.periodThisWeek","This Week","Wiki hii"
"clockIn.periodLastWeek","Last Week","Wiki Iliyopita"
"clockIn.period7Days","7 Days","Siku 7"
"clockIn.periodThisMonth","This Month","Mwezi huu"
"clockIn.period30Days","30 Days","Siku 30"
"clockIn.periodLastMonth","Last Month","Mwezi uliopita"
"clockIn.period3Months","3 Months","Miezi 3"
"clockIn.periodAllTime","All Time","Wakati Wote"
"clockIn.filterAll","All Sessions","Vikao Vyote"
"clockIn.filterCompleted","Completed","Imekamilika"
"clockIn.filterActive","Active","Inayotumika"
"clockIn.filterOvertime","Overtime","Saa za Ziada"
"clockIn.filterHoliday","Holiday","Likizo"
"clockIn.filterWeekend","Weekend","Mwishoni mwa wiki"
"clockIn.filterWithBreak","With Break","Pamoja na Mapumziko"
"clockIn.summarySessions","Sessions","Vikao"
"clockIn.summaryTotalHrs","Total Hrs","Jumla ya Hs"
"clockIn.summaryAvgDay","Avg / Day","Wastani / Siku"
"clockIn.summaryOvertime","Overtime","Saa za Ziada"
"clockIn.sessionCountSingular","session","kikao"
"clockIn.sessionCountPlural","sessions","vikao"
"clockIn.clearFilter","Clear filter","Futa kichujio"
"clockIn.emptyPeriodMessage","No records for this period","Hakuna rekodi za kipindi hiki"
"clockIn.statusInProgress","In Progress","Inaendelea"
"clockIn.statusCompleted","Completed","Imekamilika"
"clockIn.badgeOT","OT","OT"
"clockIn.badgeHOL","HOL","HOL"
"clockIn.inProgressLabel","In Progress","Inaendelea"
"clockIn.inLabel","In: {{time}}","Katika: {{time}}"
"clockIn.outLabel","Out: {{time}}","Nje: {{time}}"
"clockIn.breakSuffix","{{minutes}}m break","{{minutes}}m mapumziko"
"clockIn.outAddressPrefix","Out: {{address}}","Nje: {{address}}"
"clockIn.timeNA","N/A","N/A"
"clockIn.invalidTime","Invalid time","Wakati batili"
"clockIn.invalidDate","Invalid date","Tarehe batili"
"notificationsScreen.headerTitle","Notifications","Arifa"
"notificationsScreen.unreadCount","{{count}} unread","{{count}} haijasomwa"
"notificationsScreen.allCaughtUp","All caught up","Wote walikamatwa"
"notificationsScreen.markAllRead","Mark all read","Weka alama kuwa zote zimesomwa"
"notificationsScreen.clearAll","Clear all","Futa zote"
"notificationsScreen.clearAllConfirmTitle","Clear all notifications","Futa arifa zote"
"notificationsScreen.clearAllConfirmBody","This will permanently remove all notifications. Continue?","Hii itaondoa arifa zote kabisa. Ungependa kuendelea?"
"notificationsScreen.cancel","Cancel","Ghairi"
"notificationsScreen.clearAllAction","Clear all","Futa zote"
"notificationsScreen.emptyTitle","No notifications yet","Bado hakuna arifa"
"notificationsScreen.emptyHint","Overtime updates and reminders will appear here.","Masasisho na vikumbusho vya muda wa ziada vitaonekana hapa."
"auth.loginWelcome","Welcome Back","Karibu tena"
"auth.loginSubtitle","Secure entry to your portal","Salama kuingia kwa lango lako"
"auth.emailLabel","Email Address","Anwani ya Barua Pepe"
"auth.emailPlaceholder","name@company.com","jina@company.com"
"auth.passwordLabel","Password","Nenosiri"
"auth.passwordPlaceholder","••••••••","•••••••••"
"auth.forgot","Forgot?","Umesahau?"
"auth.signIn","Sign In","Ingia"
"auth.newHere","NEW HERE?","MPYA HAPA?"
"auth.personal","Personal","Binafsi"
"auth.company","Company","Kampuni"
"auth.loginFailedTitle","Login Failed","Kuingia Kumeshindwa"
"auth.invalidCredentials","Invalid credentials. Please try again.","Vitambulisho batili. Tafadhali jaribu tena."
"auth.errorTitle","Error","Hitilafu"
"auth.unexpectedError","An unexpected error occurred during login.","Hitilafu isiyotarajiwa ilitokea wakati wa kuingia."
"auth.emailNotVerifiedTitle","Email Not Verified","Barua pepe Haijathibitishwa"
"auth.emailNotVerifiedBody","Your email address hasn't been verified yet. We've sent you a new code — please check your inbox.","Anwani yako ya barua pepe bado haijathibitishwa. Tumekutumia msimbo mpya - tafadhali angalia kisanduku pokezi chako."
"auth.verifyNow","Verify Now","Thibitisha Sasa"
"auth.emailInvalid","Please enter a valid email address.","Tafadhali weka barua pepe halali."
"auth.passwordRequired","Password is required.","Nenosiri linahitajika."
"auth.forgotTitle","Forgot Password","Umesahau Nenosiri"
"auth.forgotSubtitle","No worries! Enter your email and we'll send you a reset code.","Hakuna wasiwasi! Weka barua pepe yako na tutakutumia msimbo wa kuweka upya."
"auth.sendResetCode","Send Reset Code","Tuma Msimbo wa Kuweka Upya"
"auth.checkEmailTitle","Check Your Email","Angalia Barua pepe Yako"
"auth.checkEmailBody","If an account with that email exists, an OTP has been sent.","Ikiwa akaunti iliyo na barua pepe hiyo ipo, OTP imetumwa."
"auth.failedToSendOtp","Failed to send OTP. Please try again.","Imeshindwa kutuma OTP. Tafadhali jaribu tena."
"auth.verifyTitle","Verify Code","Thibitisha Msimbo"
"auth.verifySubtitle","Enter the code sent to your email.","Ingiza msimbo uliotumwa kwa barua pepe yako."
"auth.verificationCodeLabel","Verification Code","Nambari ya Uthibitishaji"
"auth.otpPlaceholder","123456","123456"
"auth.codeSentTo","Code sent to","Msimbo umetumwa kwa"
"auth.verifyCode","Verify Code","Thibitisha Msimbo"
"auth.emailNotFound","Email not found. Please go back and try again.","Barua pepe haikupatikana. Tafadhali rudi na ujaribu tena."
"auth.invalidOtp","Invalid OTP. Please try again.","OTP batili. Tafadhali jaribu tena."
"auth.otpLength","OTP must be 6 digits.","OTP lazima iwe na tarakimu 6."
"auth.resetTitle","Reset Password","Weka upya Nenosiri"
"auth.resetSubtitle","Secure your account with a new password.","Linda akaunti yako kwa nenosiri jipya."
"auth.newPasswordLabel","New Password","Nenosiri Mpya"
"auth.confirmPasswordLabel","Confirm Password","Thibitisha Nenosiri"
"auth.resetPassword","Reset Password","Weka upya Nenosiri"
"auth.sessionExpiredReset","Session expired. Please start over.","Kipindi kimekwisha. Tafadhali anza upya."
"auth.resetSuccessTitle","Password Reset Successful","Uwekaji Upya Nenosiri Umefaulu"
"auth.resetSuccessBody","You can now log in with your new password.","Sasa unaweza kuingia na nenosiri lako jipya."
"auth.failedToReset","Failed to reset password. Please try again.","Imeshindwa kuweka upya nenosiri. Tafadhali jaribu tena."
"auth.passwordMin","Password must be at least 8 characters.","Nenosiri lazima liwe na angalau vibambo 8."
"auth.passwordsDoNotMatch","Passwords do not match.","Manenosiri hayalingani."
"signup.stepOf","Step {{current}} of {{total}}","Hatua {{current}} ya {{total}}"
"signup.continue","Continue","Endelea"
"signup.back","Back","Nyuma"
"signup.register","Register","Sajili"
"signup.alreadyHaveAccount","Already have an account?","Je, tayari una akaunti?"
"signup.logIn","Log In","Ingia"
"signup.passwordStrength","Password Strength","Nguvu ya Nenosiri"
"signup.strengthWeak","Weak","Dhaifu"
"signup.strengthMedium","Medium","Kati"
"signup.strengthStrong","Strong","Nguvu"
"signup.joinBrand","Join Kiruko","Ungana na Kiruko"
"signup.accountDetails","Account Details","Maelezo ya Akaunti"
"signup.accountDetailsSub","Sign up in seconds to get started.","Jisajili kwa sekunde ili kuanza."
"signup.firstName","First Name","Jina la kwanza"
"signup.lastName","Last Name","Jina la mwisho"
"signup.phoneNumber","Phone Number","Nambari ya Simu"
"signup.email","Email","Barua pepe"
"signup.emailRegistered","This email is already registered. Please log in instead.","Barua pepe hii tayari imesajiliwa. Tafadhali ingia badala yake."
"signup.workVerification","Work Verification","Uthibitishaji wa Kazi"
"signup.workVerificationSub","Link your account to your company.","Unganisha akaunti yako na kampuni yako."
"signup.brnNumber","BRN Number","Nambari ya BRN"
"signup.companyName","Company Name","Jina la Kampuni"
"signup.secureAccount","Secure Your Account","Linda Akaunti Yako"
"signup.secureAccountSub","Choose a strong password.","Chagua nenosiri dhabiti."
"signup.password","Password","Nenosiri"
"signup.confirmPassword","Confirm Password","Thibitisha Nenosiri"
"signup.welcomeTitle","Welcome!","Karibu!"
"signup.verifyEmailSent","Please check your email for a verification code.","Tafadhali angalia barua pepe yako kwa msimbo wa uthibitishaji."
"signup.signupFailed","Signup Failed","Imeshindwa Kujisajili"
"signup.unableToCreate","Unable to create account.","Imeshindwa kuunda akaunti."
"signup.unexpectedError","An unexpected error occurred.","Hitilafu isiyotarajiwa imetokea."
"signup.registerCompany","Register Company","Kampuni ya Usajili"
"signup.businessIdentity","Business Identity","Utambulisho wa Biashara"
"signup.businessIdentitySub","Enter your official company details.","Weka maelezo rasmi ya kampuni yako."
"signup.brnRegistration","BRN (Registration Number)","BRN (Nambari ya Usajili)"
"signup.brnTaken","❌ This BRN is already registered. Please use a different Business Registration Number.","❌ BRN hii tayari imesajiliwa. Tafadhali tumia Nambari tofauti ya Usajili wa Biashara."
"signup.brnAvailable","✅ BRN available — you can register your company with this number.","✅ BRN inapatikana - unaweza kusajili kampuni yako kwa nambari hii."
"signup.companyAddress","Company Address","Anwani ya Kampuni"
"signup.contactLiaison","Contact Liaison","Mawasiliano Uhusiano"
"signup.contactLiaisonSub","Primary contact for the company.","Mawasiliano ya msingi kwa kampuni."
"signup.contactPersonName","Contact Person Name","Jina la Mtu wa Kuwasiliana"
"signup.companyEmail","Company Email","Barua pepe ya Kampuni"
"signup.companyPhone","Company Phone","Simu ya Kampuni"
"signup.vatNumber","VAT Number (Optional)","Nambari ya VAT (Si lazima)"
"signup.accountShield","Account Shield","Ngao ya Akaunti"
"signup.accountShieldSub","Secure your business portal access.","Linda ufikiaji wa tovuti yako ya biashara."
"signup.portalPassword","Portal Password","Nenosiri la portal"
"signup.companyWelcomeBody","Company account created. Please check your email for a verification code.","Akaunti ya kampuni imeundwa. Tafadhali angalia barua pepe yako kwa msimbo wa uthibitishaji."
"signup.verifyEmailTitle","Verify Your Email","Thibitisha Barua pepe Yako"
"signup.verifyEmailSub","We've sent a 6-digit code to your email address.","Tumetuma nambari ya kuthibitisha yenye tarakimu 6 kwa anwani yako ya barua pepe."
"signup.verificationCode","Verification Code","Nambari ya Uthibitishaji"
"signup.verifyActivate","Verify & Activate","Thibitisha na Uwashe"
"signup.resendIn","Resend code in {{seconds}}s","Tuma tena msimbo katika {{seconds}}s"
"signup.resendCode","Resend Verification Code","Tuma tena Nambari ya Uthibitishaji"
"signup.emailNotFoundRestart","Email not found. Please restart the signup process.","Barua pepe haikupatikana. Tafadhali anzisha upya mchakato wa kujisajili."
"signup.verifiedTitle","Success!","Mafanikio!"
"signup.verifiedBody","Your email has been verified. You can now log in.","Barua pepe yako imethibitishwa. Sasa unaweza kuingia."
"signup.invalidCode","Invalid code. Please try again.","Msimbo batili. Tafadhali jaribu tena."
"signup.sentTitle","Sent","Imetumwa"
"signup.resendSuccess","A new verification code has been sent to your email.","Nambari mpya ya kuthibitisha imetumwa kwa barua pepe yako."
"signup.resendFailed","Failed to resend code. Please try again later.","Imeshindwa kutuma tena msimbo. Tafadhali jaribu tena baadaye."
"signup.vEmailRequired","Email is required","Barua pepe inahitajika"
"signup.vEmailInvalid","Invalid email","Barua pepe si sahihi"
"signup.vFirstName","First Name is required","Jina la Kwanza linahitajika"
"signup.vLastName","Last Name is required","Jina la Mwisho linahitajika"
"signup.vPhone","Phone number is required","Nambari ya simu inahitajika"
"signup.vPhoneShort","Phone is required","Simu inahitajika"
"signup.vCompanyName","Company Name is required","Jina la Kampuni linahitajika"
"signup.vBrn","BRN is required","BRN inahitajika"
"signup.vAddress","Address is required","Anwani inahitajika"
"signup.vContactName","Contact Person Name is required","Jina la Mtu wa Kuwasiliana naye linahitajika"
"signup.vPasswordRule","Password must meet at least 3 of: min 6 chars, uppercase, lowercase, number, special char","Nenosiri lazima litimize angalau 3 kati ya: dak 6 chara, herufi kubwa, herufi ndogo, nambari, herufi maalum"
"signup.vPasswordsMatch","Passwords do not match","Manenosiri hayalingani"
"signup.vOtpLength","OTP must be 6 digits.","OTP lazima iwe na tarakimu 6."
"onboarding.step1Title","Welcome to
Kiruko","Karibu
Kiruko"
"onboarding.step1Subtitle","Your comprehensive workforce management solution that helps you track time, manage schedules, and stay organized.","Suluhisho lako la kina la usimamizi wa wafanyikazi ambalo hukusaidia kufuatilia wakati, kudhibiti ratiba na kukaa kwa mpangilio."
"onboarding.step2Title","Track Your Time
Effortlessly","Fuatilia Muda Wako
Bila Juhudi"
"onboarding.step2Subtitle","Log work hours, manage breaks, and monitor your productivity with our intuitive time tracking system.","Weka saa za kazi, dhibiti mapumziko, na ufuatilie tija yako ukitumia mfumo wetu wa ufuatiliaji wa saa angavu."
"onboarding.step3Title","Built for Your
Whole Team","Imeundwa kwa ajili ya
Timu Yako Nzima"
"onboarding.step3Subtitle","Schedules, leave, payroll and attendance — everything your workforce needs, all in one place.","Ratiba, likizo, malipo na mahudhurio - kila kitu ambacho wafanyikazi wako wanahitaji, yote katika sehemu moja."
"onboarding.step4Title","Ready to Start!","Tayari Kuanza!"
"onboarding.step4Subtitle","You're all set. Let's get you signed in.","Uko tayari. Hebu tukufanye uingie."
"onboarding.roleEmployers","employers","waajiri"
"onboarding.roleEmployees","employees","wafanyakazi"
"onboarding.roleUsers","users","watumiaji"
"onboarding.selectionRequiredTitle","Selection Required","Uteuzi Unahitajika"
"onboarding.selectionRequiredBody","Please select your role to continue with a personalized experience.","Tafadhali chagua jukumu lako ili kuendelea na utumiaji uliobinafsishwa."
"onboarding.saveFailed","Failed to save your selection. Please try again.","Imeshindwa kuhifadhi chaguo lako. Tafadhali jaribu tena."
"onboarding.skipTitle","Skip Onboarding?","Ungependa Kuruka Kupanda?"
"onboarding.skipBody","You can always set up your profile later in settings.","Unaweza kusanidi wasifu wako wakati wowote katika mipangilio."
"onboarding.continueSetup","Continue Setup","Endelea Kuweka"
"onboarding.skip","Skip","Ruka"
"onboarding.imEmployer","I'm an Employer","Mimi ni Mwajiri"
"onboarding.employerDesc","Manage employees and track team productivity","Dhibiti wafanyikazi na ufuatilie tija ya timu"
"onboarding.imEmployee","I'm an Employee","Mimi ni Mfanyakazi"
"onboarding.employeeDesc","Track your time and manage work schedule","Fuatilia wakati wako na udhibiti ratiba ya kazi"
"onboarding.stepCount","{{current}} of {{total}}","{{current}} ya {{total}}"
"onboarding.back","Back","Nyuma"
"onboarding.getStarted","Get Started","Anza"
"onboarding.continue","Continue","Endelea"
"companyDashboard.notifTitle","Notifications","Arifa"
"companyDashboard.notifUnread","{{count}} unread","{{count}} haijasomwa"
"companyDashboard.notifMarkAllRead","Mark all read","Weka alama kuwa zote zimesomwa"
"companyDashboard.notifEmptyTitle","No notifications yet","Bado hakuna arifa"
"companyDashboard.notifEmptyBody","Overtime alerts and updates from your team will appear here.","Arifa za muda wa ziada na masasisho kutoka kwa timu yako yataonekana hapa."
"companyDashboard.notifApprove","Approve","Idhinisha"
"companyDashboard.notifReject","Reject","Kataa"
"companyDashboard.notifFailConfirm","Failed to confirm overtime","Imeshindwa kuthibitisha muda wa ziada"
"companyDashboard.notifConfirmedTitle","Confirmed","Imethibitishwa"
"companyDashboard.notifConfirmedBody","Overtime has been approved. The employee will be notified.","Muda wa ziada umeidhinishwa. Mfanyakazi atajulishwa."
"companyDashboard.notifSomethingWrong","Something went wrong. Please try again.","Hitilafu fulani imetokea. Tafadhali jaribu tena."
"companyDashboard.notifFailReject","Failed to reject overtime","Imeshindwa kukataa muda wa ziada"
"companyDashboard.notifRejectedTitle","Rejected","Imekataliwa"
"companyDashboard.notifRejectedBody","Overtime request has been rejected. The employee will be notified.","Ombi la muda wa ziada limekataliwa. Mfanyakazi atajulishwa."
"companyDashboard.docsTitle","Employee Documents","Nyaraka za Wafanyikazi"
"companyDashboard.docsSubtitle","Manage HR documents for your team","Dhibiti hati za HR kwa timu yako"
"companyDashboard.docTypePassport","Passport","Pasipoti"
"companyDashboard.docTypeWorkPermit","Work Permit","Kibali cha Kazi"
"companyDashboard.docTypeContract","Contract","Mkataba"
"companyDashboard.docTypePayStub","Pay Stub","Malipo"
"companyDashboard.docTypeIdCard","ID Card","Kadi ya kitambulisho"
"companyDashboard.docTypeOther","Other","Nyingine"
"companyDashboard.docNoExpiry","No expiry","Hakuna muda wa matumizi"
"companyDashboard.docExpired","Expired","Muda wake umeisha"
"companyDashboard.docDaysLeft","{{days}}d left","{{days}}d imeondoka"
"companyDashboard.docAddDoc","Add Doc","Ongeza Hati"
"companyDashboard.docViewingVault","Viewing vault for","Kuangalia kuba kwa"
"companyDashboard.docExpiringSoonOne","{{count}} document expiring soon","{{count}} hati itakwisha hivi karibuni"
"companyDashboard.docExpiringSoonOther","{{count}} documents expiring soon","{{count}} hati zitakwisha hivi karibuni"
"companyDashboard.docNoneTitle","No documents yet","Bado hakuna hati"
"companyDashboard.docNoneBody","Upload contracts, work permits, pay stubs and other HR documents for {{name}}.","Pakia mikataba, vibali vya kufanya kazi, hati za malipo na hati zingine za Utumishi wa {{name}}."
"companyDashboard.docSelectEmployee","Select an employee above to view their documents.","Chagua mfanyakazi hapo juu ili kutazama hati zake."
"companyDashboard.docNameRequiredTitle","Name required","Jina linahitajika"
"companyDashboard.docNameRequiredBody","Please enter a document name.","Tafadhali weka jina la hati."
"companyDashboard.docCouldNotSave","Could not save document.","Haikuweza kuhifadhi hati."
"companyDashboard.docCouldNotSaveRetry","Could not save document. Please try again.","Haikuweza kuhifadhi hati. Tafadhali jaribu tena."
"companyDashboard.docDeleteTitle","Delete Document","Futa Hati"
"companyDashboard.docDeleteBody","Remove ""{{name}}"" from this employee's vault?","Je, ungependa kuondoa ""{{name}}"" kutoka kwa kubana ya mfanyakazi huyu?"
"companyDashboard.docCouldNotDelete","Could not delete document.","Haikuweza kufuta hati."
"companyDashboard.docSharingUnavailableTitle","Sharing not available","Kushiriki hakupatikani"
"companyDashboard.docSharingUnavailableBody","File sharing is not available on this device.","Kushiriki faili hakupatikani kwenye kifaa hiki."
"companyDashboard.docCouldNotOpen","Could not open file.","Haikuweza kufungua faili."
"companyDashboard.docVaultEyebrow","Document Vault","Hazina ya Hati"
"companyDashboard.docAddDocument","Add Document","Ongeza Hati"
"companyDashboard.docForName","for {{name}}","kwa {{name}}"
"companyDashboard.docDocumentType","Document Type","Aina ya Hati"
"companyDashboard.docDocumentName","Document Name","Jina la Hati"
"companyDashboard.docNamePlaceholder","e.g. Employment Contract 2024","k.m. Mkataba wa Ajira 2024"
"companyDashboard.docExpiryDate","Expiry Date","Tarehe ya kumalizika muda wake"
"companyDashboard.docOptional","(optional)","(si lazima)"
"companyDashboard.docExpiryPlaceholder","YYYY-MM-DD","YYYY-MM-DD"
"companyDashboard.docExpiryFormat","Format: 2025-12-31","Muundo: 2025-12-31"
"companyDashboard.docNotes","Notes","Vidokezo"
"companyDashboard.docNotesPlaceholder","Any notes about this document...","Vidokezo vyovyote kuhusu hati hii..."
"companyDashboard.docAttachFile","Attach File","Ambatisha Faili"
"companyDashboard.docPickDocument","Pick Document","Chagua Hati"
"companyDashboard.docTakePhoto","Take/Pick Photo","Chukua/Chagua Picha"
"companyDashboard.docSave","Save","Hifadhi"
"companyDashboard.activityTitle","Activity","Shughuli"
"companyDashboard.activitySearchPlaceholder","Search by employee name…","Tafuta kwa jina la mfanyakazi..."
"companyDashboard.activityNothingHere","Nothing here","Hakuna kitu hapa"
"companyDashboard.activityAdjustFilters","Try adjusting your filters","Jaribu kurekebisha vichujio vyako"
"companyDashboard.activityRecords","{{count}} records","{{count}} rekodi"
"companyDashboard.activityLoading","Loading activity…","Inapakia shughuli..."
"companyDashboard.actLeaveSuffix","{{type}} Leave","{{type}} Ondoka"
"companyDashboard.actLeaveFallback","Leave","Ondoka"
"companyDashboard.actStatusOnly","Status: {{status}}","Hali: {{status}}"
"companyDashboard.actClockedIn","Clocked In","Imeingia"
"companyDashboard.actClockedOut","Clocked Out","Imetoka Saa"
"companyDashboard.actSessionEnded","Session ended","Kikao kimemalizika"
"companyDashboard.actAtTime","At {{time}}","Kwa {{time}}"
"companyDashboard.actOvertime","Overtime","Saa za Ziada"
"companyDashboard.actOvertimeFlaggedBy","{{name}} flagged their shift","{{name}} waliripoti zamu zao"
"companyDashboard.actOvertimeFlagged","Overtime flagged","Muda wa ziada umealamishwa"
"companyDashboard.actShiftDone","Shift Done","Shift Imefanywa"
"companyDashboard.actWorkCompleted","Work completed","Kazi imekamilika"
"companyDashboard.actActivity","Activity","Shughuli"
"companyDashboard.actAnEmployee","An employee","Mfanyakazi"
"companyDashboard.actFilterAll","All","Wote"
"companyDashboard.actFilterLeaves","Leaves","Majani"
"companyDashboard.actFilterClockIns","Clock-Ins","Saa-Ins"
"companyDashboard.actFilterShifts","Shifts","Mabadiliko"
"companyDashboard.actDateToday","Today","Leo"
"companyDashboard.actDateThisWeek","This Week","Wiki hii"
"companyDashboard.actDateThisMonth","This Month","Mwezi huu"
"companyDashboard.actDateAllTime","All Time","Wakati Wote"
"companyProfile.headerTitle","Company Profile","Wasifu wa Kampuni"
"companyProfile.stepIdentity","Identity","Utambulisho"
"companyProfile.stepContact","Contact","Wasiliana"
"companyProfile.stepLabel","Step {{current}} of {{total}}: {{title}}","Hatua {{current}} ya {{total}}: {{title}}"
"companyProfile.companyIdentity","Company Identity","Utambulisho wa Kampuni"
"companyProfile.companyName","Company Name","Jina la Kampuni"
"companyProfile.companyNamePlaceholder","e.g. Acme Ltd","k.m. Acme Ltd"
"companyProfile.brnLabel","Business Registration Number (BRN)","Nambari ya Usajili wa Biashara (BRN)"
"companyProfile.brnPlaceholder","e.g. C12345678","k.m. C12345678"
"companyProfile.brnNote","BRN cannot be changed after registration.","BRN haiwezi kubadilishwa baada ya usajili."
"companyProfile.contactOps","Contact & Operations","Mawasiliano na Uendeshaji"
"companyProfile.businessEmail","Business Email","Barua pepe ya Biashara"
"companyProfile.emailPlaceholder","company@example.com","company@example.com"
"companyProfile.phoneNumber","Phone Number","Nambari ya Simu"
"companyProfile.phonePlaceholder","+230 5XX XXXX","+230 5XXX XXX"
"companyProfile.businessAddress","Business Address","Anwani ya Biashara"
"companyProfile.addressPlaceholder","Full address","Anwani kamili"
"companyProfile.vatLabel","VAT Registration Number","Nambari ya Usajili wa VAT"
"companyProfile.optional","(Optional)","(Si lazima)"
"companyProfile.vatPlaceholder","e.g. MU12345678","k.m. MU12345678"
"companyProfile.vatNote","Leave blank if your company is not VAT registered.","Ondoka wazi ikiwa kampuni yako haijasajiliwa VAT."
